priority_rank,priority_score,province,city,school_count,current_geo_node_id,current_geo_confidence,current_urban_node_id,current_urban_confidence,review_reasons,suggested_geo_parent_id,suggested_geo_node_id,suggested_geo_name,suggested_urban_parent_id,suggested_urban_node_id,suggested_urban_name,reviewer_geo_action,reviewer_geo_parent_id,reviewer_geo_node_id,reviewer_geo_name,reviewer_urban_action,reviewer_urban_parent_id,reviewer_urban_node_id,reviewer_urban_name,reviewer_confidence,reviewer_note
66,11110,江苏,淮安,10,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:c2baceb3a7,淮安,urban:tier:prefecture,urban:reviewed:45a1fe31ac,淮安,,,,,,,,,,
67,11110,河北,秦皇岛,10,geo:province:hebei,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:hebei,geo:reviewed:ff89c53046,秦皇岛,urban:tier:prefecture,urban:reviewed:70c32bf53a,秦皇岛,,,,,,,,,,
68,11110,河南,开封市,10,geo:province:henan,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:henan,geo:reviewed:a38fb68a1a,开封市,urban:tier:prefecture,urban:reviewed:3abdc0381c,开封市,,,,,,,,,,
69,11110,浙江,绍兴市,10,geo:province:zhejiang,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:zhejiang,geo:reviewed:d4ec0e1a7e,绍兴市,urban:tier:prefecture,urban:reviewed:a4a965e4e4,绍兴市,,,,,,,,,,
70,11110,浙江,金华市,10,geo:province:zhejiang,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:zhejiang,geo:reviewed:4fef0b3ff8,金华市,urban:tier:prefecture,urban:reviewed:a434eee485,金华市,,,,,,,,,,
71,11110,贵州,黔南布依族苗族自治州,10,geo:province:guizhou,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:guizhou,geo:reviewed:ea20d02c0b,黔南布依族苗族自治州,urban:tier:prefecture,urban:reviewed:0bea8d5ea4,黔南布依族苗族自治州,,,,,,,,,,
72,11110,辽宁,锦州市,10,geo:province:liaoning,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:liaoning,geo:reviewed:c88fda1cf9,锦州市,urban:tier:prefecture,urban:reviewed:ca2cb968dc,锦州市,,,,,,,,,,
73,11109,山东,威海市,9,geo:province:shandong,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:shandong,geo:reviewed:e445b42c9b,威海市,urban:tier:prefecture,urban:reviewed:9b951a890b,威海市,,,,,,,,,,
74,11109,广东,珠海市,9,geo:province:guangdong,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:guangdong,geo:reviewed:f83c79fb17,珠海市,urban:tier:prefecture,urban:reviewed:c1aafc9640,珠海市,,,,,,,,,,
75,11109,江苏,扬州,9,geo:province:jiangsu,0.6,,0.0,geo_city_not_explicitly_mapped;low_confidence_or_missing_mapping;urban_tier_unmatched,geo:province:jiangsu,geo:reviewed:073900bed9,扬州,urban:tier:prefecture,urban:reviewed:7e98a11820,扬州,,,,,,,,,,
